Achitecture,Base Clock,Base Power,Gen,IGPU Frequency,Launch Date,Link,Max Boost Clock,Max Power,Memory Channels,Memory Type,Name,Series,Total Cache,Total Cores,Total Threads
14,1.7,25,5,1000,Q2'20,https://www.intel.com/content/www/us/en/products/sku/199275/intel-core-i510500t-processor-12m-cache-up-to-3-80-ghz/specifications.html,3.8,35,,4,i5-10500T,10th Generation Intel® Core™ i5 Processors,12,6,12.0
0,0.9,45,7,2000,Q2'24,https://www.intel.com/content/www/us/en/products/sku/239786/intel-core-ultra-7-processor-155hl-24m-cache-up-to-4-80-ghz/specifications.html,4.8,115,,5,155HL,Intel® Core™ Ultra processors (Series 1),24,16,22.0
7,1.2,35,5,1000,Q1'24,https://www.intel.com/content/www/us/en/products/sku/236780/intel-core-i5-processor-14500t-24m-cache-up-to-4-80-ghz/specifications.html,4.8,92,,5,i5-14500T,Intel® Core™ i5 Processors (14th gen),24,14,20.0
7,4.7,45,5,1000,Q1'23,https://www.intel.com/content/www/us/en/products/sku/233458/intel-core-i513500h-processor-18m-cache-up-to-4-70-ghz-with-ipu/specifications.html,4.7,95,,5,i5-13500H,13th Generation Intel® Core™ i5 Processors,18,12,16.0
7,1.3,35,5,1000,Q1'24,https://www.intel.com/content/www/us/en/products/sku/236782/intel-core-i5-processor-14600t-24m-cache-up-to-5-10-ghz/specifications.html,5.1,92,,5,i5-14600T,Intel® Core™ i5 Processors (14th gen),24,14,20.0
22,1.7,0,3,1000,Q3'13,https://www.intel.com/content/www/us/en/products/sku/75107/intel-core-i34010u-processor-3m-cache-1-70-ghz/specifications.html,1.7,0,,3,i3-4010U,4th Generation Intel® Core™ i3 Processors,3,2,4.0
14,1.9,25,5,1000,Q2'20,https://www.intel.com/content/www/us/en/products/sku/199279/intel-core-i510600t-processor-12m-cache-up-to-4-00-ghz/specifications.html,4.0,35,,4,i5-10600T,10th Generation Intel® Core™ i5 Processors,12,6,12.0
14,0.8,10,3,1000,Q1'18,https://www.intel.com/content/www/us/en/products/sku/137977/intel-core-i38130u-processor-4m-cache-up-to-3-40-ghz/specifications.html,3.4,15,,4,i3-8130U,8th Generation Intel® Core™ i3 Processors,4,2,4.0
22,2.6,0,5,1000,Q3'14,https://www.intel.com/content/www/us/en/products/sku/83508/intel-core-i54278u-processor-3m-cache-up-to-3-10-ghz/specifications.html,3.1,0,,3,i5-4278U,4th Generation Intel® Core™ i5 Processors,3,2,4.0
14,1.6,0,5,1000,Q1'19,https://www.intel.com/content/www/us/en/products/sku/194697/intel-core-i58310y-processor-4m-cache-up-to-3-90-ghz/specifications.html,3.9,0,,3,i5-8310Y,8th Generation Intel® Core™ i5 Processors,4,2,4.0
14,0.8,10,5,1000,Q3'18,https://www.intel.com/content/www/us/en/products/sku/149088/intel-core-i58265u-processor-6m-cache-up-to-3-90-ghz/specifications.html,3.9,25,,4,i5-8265U,8th Generation Intel® Core™ i5 Processors,6,4,8.0
14,2.3,0,5,1000,Q4'15,https://www.intel.com/content/www/us/en/products/sku/88186/intel-core-i56500te-processor-6m-cache-up-to-3-30-ghz/specifications.html,3.3,0,,4,i5-6500TE,6th Generation Intel® Core™ i5 Processors,6,4,4.0
7,4.7,15,7,1000,Q1'22,https://www.intel.com/content/www/us/en/products/sku/226259/intel-core-i71255u-processor-12m-cache-up-to-4-70-ghz/specifications.html,4.7,55,,5,i7-1255U,12th Generation Intel® Core™ i7 Processors,12,10,12.0
14,0.8,10,7,1000,Q3'17,https://www.intel.com/content/www/us/en/products/sku/124968/intel-core-i78650u-processor-8m-cache-up-to-4-20-ghz/specifications.html,4.2,25,,4,i7-8650U,8th Generation Intel® Core™ i7 Processors,8,4,8.0
