Price,CPU Name,CPU Achitecture,CPU Core,CPU Thread,CPU Cache,CPU Base Clock,CPU Max Clock,CPU Intel,Base Power,Max Power,CPU Gen,RAM,Memory Type,Max DDR Support,Storage,Storage Type,GPU Name,GPU VRAM,GPU Onboard,GPU AMD,GPU NVIDIA,Display Type,Display Size,Display Frequency,OS,Warrant,Display Width,Display Height
14390000,i5-1335U,7,10.0,12.0,12,4.6,4.6,1,15,55,5,8,4,5.0,512,1,,0.0,1,0,0,0,14.0,60,11,24.0,1920,1080
23990000,i5-1335U,7,10.0,12.0,12,4.6,4.6,1,15,55,5,8,4,5.0,512,1,,0.0,1,0,0,1,14.0,60,10,12.0,1920,1080
10290000,i3-1215U,7,6.0,8.0,10,4.4,4.4,1,15,55,3,8,4,5.0,256,1,,0.0,1,0,0,1,14.0,60,11,12.0,1920,1080
24990000,i5-1135G7,10,4.0,8.0,8,0.9,4.2,1,12,28,5,16,4,4.0,512,1,,0.0,1,0,0,0,13.0,60,11,24.0,1920,1080
17990000,i5-12450H,7,8.0,12.0,12,4.4,4.4,1,45,95,5,32,4,5.0,512,1,,0.0,1,0,0,1,15.0,144,11,12.0,1920,1080
22990000,i7-1255U,7,10.0,12.0,12,4.7,4.7,1,15,55,7,8,4,5.0,512,1,630,4.0,0,1,0,1,13.0,60,11,12.0,1920,1080
85990000,i9-12900,7,16.0,24.0,30,1.8,5.0,1,65,202,9,32,5,5.0,512,1,,0.0,1,0,0,0,15.0,60,10,36.0,3840,2400
27990000,i5-1235U,7,10.0,12.0,12,4.4,4.4,1,15,55,5,128,5,5.0,256,1,,0.0,1,0,0,0,13.0,120,11,28.0,2880,1920
26990000,i5-1135G7,10,4.0,8.0,8,0.9,4.2,1,12,28,5,16,4,4.0,512,1,,0.0,1,0,0,0,13.0,60,11,24.0,1920,1080
45990000,i7-13800H,7,14.0,20.0,24,5.2,5.2,1,45,115,7,16,5,5.0,512,1,,0.0,1,0,0,0,15.0,60,10,36.0,1920,1080
28990000,165H,7,16.0,22.0,24,0.9,5.0,1,28,115,7,32,5,5.0,512,1,,0.0,1,0,0,1,16.0,165,11,12.0,1920,1200
17990000,i7-1355U,7,10.0,12.0,12,5.0,5.0,1,15,55,7,16,4,5.0,512,1,,0.0,1,0,0,0,15.0,120,11,12.0,1920,1080
16190000,i5-1334U,7,10.0,12.0,12,4.6,4.6,1,15,55,5,8,4,5.0,512,1,,0.0,1,0,0,0,15.0,60,11,12.0,1920,1080
37990000,i7-13700,7,16.0,24.0,30,1.5,5.1,1,65,219,7,64,5,5.0,1024,1,4060,8.0,0,0,1,0,15.0,165,11,24.0,2560,1440
18990000,i3-10100,14,4.0,8.0,6,3.6,4.3,1,9,15,3,128,4,4.0,128,1,,0.0,1,0,0,0,10.0,60,11,12.0,1920,1280
18845000,i7-1355U,7,10.0,12.0,12,5.0,5.0,1,15,55,7,16,4,5.0,512,1,,0.0,1,0,0,1,14.0,60,10,24.0,1920,1080
25990000,i7-1355U,7,10.0,12.0,12,5.0,5.0,1,15,55,7,16,4,5.0,512,1,630,4.0,0,1,0,1,13.0,60,11,12.0,1920,1080
59990000,i9-13950HX,7,24.0,32.0,36,5.5,5.5,1,55,157,9,64,5,5.0,1024,1,4080,16.0,0,0,1,1,16.0,144,11,24.0,1920,1200
15900000,i5-1235U,7,10.0,12.0,12,4.4,4.4,1,15,55,5,8,4,5.0,512,1,,0.0,1,0,0,1,14.0,60,11,12.0,1920,1080
22999000,i5-13420H,7,8.0,12.0,12,4.6,4.6,1,45,95,5,8,5,5.0,512,1,,0.0,1,0,0,1,15.0,144,11,24.0,1920,1080
32990000,i7-1360P,7,12.0,16.0,18,5.0,5.0,1,28,64,7,16,5,5.0,1024,1,,0.0,1,0,0,1,16.0,60,11,24.0,1920,1080
18690000,i5-1335U,7,10.0,12.0,12,4.6,4.6,1,15,55,5,8,4,5.0,512,1,,0.0,1,0,0,1,14.0,60,11,12.0,1920,1080
14990000,i5-1135G7,10,4.0,8.0,8,0.9,4.2,1,12,28,5,8,4,4.0,256,1,,0.0,1,0,0,1,14.0,60,10,36.0,1920,1080
