Price,Link,CPU Name,CPU Achitecture,CPU Core,CPU Thread,CPU Cache,CPU Base Clock,CPU Max Clock,RAM,Memory Type,Max DDR Support,Storage,Storage Type,GPU Name,GPU VRAM,IGPU Cloock,Display Type,Display Size,Display Resolution,Display Frequency,Display Color,OS
45999000,https://hacom.vn/laptop-gigabyte-gaming-aorus-17-bkf-73vn254sh-i7-13700h-16gb-ram-1tb-ssd-rtx4050-6g-17.3-inch-fhd-144hz-win-11-den,i7-13700,7,16.0,24.0,30,1.5,5.1,64GB,DDR5,5.0,1TB,SSD,4060,8,,IPS,17.3-INCH,1980 X 1080,144HZ,100% SRGB,11
28999000,https://hacom.vn/laptop-hp-gaming-victus-16-r0129tx-8c5n4pa-i7-13700h-16gb-ram-512gb-ssd-16-fhd-144hz-rtx3050-4gb-win11-den,i7-13700,7,16.0,24.0,30,1.5,5.1,16GB,DDR5,5.0,512GB,SSD,,,,IPS,"16""",1920x1080,144HZ,45% NTSC,11
20999000,https://hacom.vn/laptop-dell-gaming-g15-5525-g15-5525-r5h085w11gr3050-win11-officehs21-xam-den,Ryzen 5 6600H,6,6.0,12.0,19,3.3,4.5,32GB,DDR5,5.0,512GB,SSD,,,,IPS,15.6-INCH,1920 X1080,120HZ,,11
59999000,https://hacom.vn/laptop-asus-gaming-rog-strix-scar-g814jir-n6007w-i9-14900hx-32gb-ram-1tb-ssd-18-wqxga-240hz-rtx-4070-8gb-win11-xam-balo,i9-14900,7,24.0,32.0,36,1.5,5.4,32GB,DDR5,5.0,1TB,SSD,4070,12,,IPS,18-INCH,2560 X 1600,240HZ,100% DCI-P3,11
51999000,https://hacom.vn/laptop-lenovo-legion-5-pro-16irx8-82wk00anvn-i9-13900hx-16gb-ram-1tb-ssd-16-wqxga-165hz-rtx-4070-8g-win11-xam,i9-13900,7,24.0,32.0,36,1.5,5.2,32GB,DDR5,5.0,1TB,SSD,4070,12,,IPS,"16""",2560X1600,165HZ,100% SRGB,11
79499000,https://hacom.vn/laptop-msi-gaming-stealth-18-ai-studio-a1vgg-xxx-core-ultra-9-185h-32gb-ram-2tb-ssd-rtx4070-8g-18.0-inch-uhd-120hz-win11-den-2024,185H,0,16.0,22.0,24,1.8,5.1,32GB,DDR5,5.0,2TB,SSD,4070,12,,IPS,18.0-INCH,3840X2400,120HZ,100% DCI-P3,11
54999000,https://hacom.vn/laptop-msi-creator-z16p-b12ugst-044vn-xam-2022,i7-12700,7,12.0,20.0,25,1.6,4.8,64GB,DDR4,5.0,2TB,SSD,3070,8,,IPS,16.0 INCH,2560x1440,165HZ,100%DCI-P3,11
92990000,https://hacom.vn/laptop-msi-raider-18-hx-a14vhg-230vn-i9-14900hx-ram-32gb-ssd-2tb-rtx-4080-12gb-gddr6-18-inch-win11-black,i9-14900,7,24.0,32.0,36,1.5,5.4,32GB,DDR5,5.0,2TB,SSD,4080,16,,IPS,18-INCH,3840X2400,120HZ,100%DCI-P3,11
109999000,https://hacom.vn/laptop-msi-gaming-ge78-hx-raider-13vh-076vn-i9-13950hx-64gb-ram-4tb-ssd-rtx4080-12g-17.3-inch-qhd-240hz-win11-den,i9-13950HX,7,24.0,32.0,36,5.5,5.5,64GB,DDR5,5.0,4TB,SSD,4080,16,,IPS,17.3-INCH,2560 X 1600,240HZ,100% DCI-P3,11
74990000,https://hacom.vn/laptop-msi-stealth-16-studio-a13vg-057vn-i9-13900h-32gb-ram-2tb-ssd-rtx4070-8g-16uhd-120hz-win-11-xanh-blue-star-balo-trooper,i9-13900,7,24.0,32.0,36,1.5,5.2,64GB,DDR5,5.0,2TB,SSD,4070,12,,IPS,16 INCH,3840X2160,120HZ,100% DCI-P3,11
59999000,https://hacom.vn/laptop-msi-gaming-gs77-stealth-12uh-075vn-win-11-2022,i9-12900,7,16.0,24.0,30,1.8,5.0,64GB,DDR5,5.0,2TB,SSD,3080,12,,IPS,17.3 INCH,2560x1440,240HZ,DCI-P3 100%,0
21999000,https://hacom.vn/laptop-gigabyte-gaming-g5-mf5-52vn353sh-i5-13500h-16gb-ram-512gb-ssd-rtx4050-6g-15.6-inch-fhd-144hz-win-11-den,i5-13500,7,14.0,20.0,24,1.8,4.8,64GB,DDR4,5.0,512GB,SSD,,,,IPS,15.6-INCH,1920X1080,144HZ,72% NTSC,11
19999000,https://hacom.vn/laptop-gigabyte-gaming-g5-mf-f2vn313sh,i5-12450H,7,8.0,12.0,12,4.4,4.4,64GB,DDR4,5.0,512GB,SSD,,,,IPS,15.6 INCH,1920X1080,144HZ,",72% NTSC",11
124999000,https://hacom.vn/laptop-lenovo-legion-9-16irx8-83ag0047vn-i9-13980hx-64gb-ram-2tb-ssd-16-3.2k-165hz-rtx-4090-16g-win11-xam,i9-13980HX,7,24.0,32.0,36,5.6,5.6,64GB,DDR5,5.0,2TB,SSD,4090,24,,IPS,"16""",3200X2000,165HZ,100% DCI-P3,11
51799000,https://hacom.vn/laptop-acer-gaming-predator-helios-16-phn16-72-71um-nh.qnmsv.002-i7-14700hx-16gb-ram-1tb-ssd-rtx4070-8g-16-inch-2k-240hz-win-11-den,i7-14700,7,20.0,28.0,33,1.5,5.3,32GB,DDR5,5.0,1TB,SSD,4070,12,,IPS,16-INCH,2560 X 1600,240HZ,DCI-P3 100%,11
29599000,https://hacom.vn/laptop-msi-gaming-cyborg-15-ai-a1vek-053vn-core-ultra-7-155h-16gb-512gb-ssd-rtx-4050-6gb-15.6-inch-fhd-144hz-ips-win11-den-2024,155H,0,16.0,22.0,24,0.9,4.8,16GB,DDR5,5.0,512GB,SSD,,,,IPS,15.6-INCH,1920X1080,144HZ,,11
84990000,https://hacom.vn/laptop-msi-creator-z16-hx-studio-b13vgto-062vn-i9-13950hx-64gb-ram-2tb-ssd-rtx4070-8g-16.0-inch-qhd-touch-win-10-xam-vo-nhom,i9-13950HX,7,24.0,32.0,36,5.5,5.5,64GB,DDR5,5.0,2TB,SSD,4070,12,,IPS,16.0-INCH,2560X1600,120HZ,,11
77990000,https://hacom.vn/laptop-msi-stealth-16-mercedes-amg-motorsport-a13vg-289vn-i9-13900h-32gb-ram-2tb-ssd-rtx4070-8g-16-inch-uhd-oled-win-11-xam-2023,i9-13900,7,24.0,32.0,36,1.5,5.2,64GB,LPDDR5,5.0,2TB,SSD,4070,12,,OLED,16-INCH,3840X2400,60HZ,,11
44999000,https://hacom.vn/laptop-lenovo-legion-5-pro-16irx8-82wk00apvn-i9-13900hx-16gb-ram-1tb-ssd-16-wqxga-165hz-rtx-4060-8g-win11-xam,i9-13900,7,24.0,32.0,36,1.5,5.2,32GB,DDR5,5.0,1TB,SSD,4060,8,,IPS,"16""",2560X1600,165HZ,100% SRGB,11
124999000,https://hacom.vn/laptop-acer-gaming-predator-helios-16-ph16-71-94n1-nh.qjssv.002-i9-13900hx-2-16gb-ram-2tb-ssd-rtx4080-12g-16-inch-2k-240hz-win-11-den-vo-nhom,i9-13900,7,24.0,32.0,36,1.5,5.2,32GB,DDR5,5.0,2TB,SSD,4080,16,,LCD,16-INCH,2560x1600,240HZ,DCI-P3 100%,11
104799000,https://hacom.vn/laptop-acer-gaming-predator-helios-18-ph18-72-908n-nh.qp4sv.001-i9-14900hx-32gb-ram-4tb-ssd-rtx4090-16g-18-inch-2k-250hz-win-11-den,i9-14900,7,24.0,32.0,36,1.5,5.4,32GB,DDR5,5.0,4TB,SSD,4090,24,,IPS,18-INCH,2560 X 1600,250HZ,",DCI-P3 100%",11
26799000,https://hacom.vn/laptop-gigabyte-gaming-aorus-15-9mf-e2vn583sh-i5-12500h-8gb-ram-512gb-ssd-rtx4050-6g-15.6-inch-fhd-360hz-win-11-den,i5-12500,7,6.0,12.0,18,4.6,4.6,64GB,DDR5,5.0,512GB,SSD,,,,IPS,15.6-INCH,1980 X 1080,360HZ,100% SRGB,11
19599000,https://hacom.vn/laptop-gigabyte-gaming-g5-mf-f2ph333sh-i5-12450h-8gb-ram-512gb-ssd-rtx4050-6g-15.6-inch-fhd-144hz-win-11-den,i5-12450H,7,8.0,12.0,12,4.4,4.4,64GB,DDR4,5.0,512GB,SSD,,,,IPS,15.6-INCH,1920X1080,144HZ,",72% NTSC",11
23999000,https://hacom.vn/laptop-gigabyte-gaming-g5-mf5-h2vn353sh-i7-13620h-16gb-ram-512gb-ssd-rtx4050-6g-15.6-inch-fhd-144hz-win-11-den,i7-13620H,7,10.0,16.0,24,4.9,4.9,64GB,DDR5,5.0,512GB,SSD,,,,IPS,15.6-INCH,1920X1080,144HZ,72% NTSC,11
89990000,https://hacom.vn/laptop-msi-gaming-ge68-hx-raider-14vig-496vn-i9-14900hx-32gb-ram-2tb-ssd-rtx4090-16gb-16.0-inch-qhd-240hz-win11-den-2024,i9-14900,7,24.0,32.0,36,1.5,5.4,32GB,DDR5,5.0,2TB,SSD,4090,24,,IPS,16.0-INCH,2560 X 1600,240HZ,100% DCI-P3,11
78799000,https://hacom.vn/laptop-acer-gaming-predator-helios-16-predator-helios-16-ph16-72-95zm-nh.qnzsv.008-i9-14900hx-32gb-ram-2tb-ssd-rtx4080-12g-16-inch-2k-250hz-win-11-den,i9-14900,7,24.0,32.0,36,1.5,5.4,32GB,DDR5,5.0,2TB,SSD,4080,16,,IPS,16-INCH,2560 X 1600,250HZ,DCI-P3 100%,11
24799000,https://hacom.vn/laptop-gigabyte-g5-kf5-53vn383sh-i5-13500h-8gb-512gb-ssd-rtx4060-8g-15.6fhd-144hz-win-11-den,i5-13500,7,14.0,20.0,24,1.8,4.8,64GB,DDR5,5.0,512GB,SSD,4060,8,,IPS,15.6 INCH,1920X1080,144HZ,72% NTSC,11
74999000,https://hacom.vn/laptop-asus-gaming-rog-zephyrus-gu605mi-qr116w-ultra-core-i9-185h-32gb-ram-1tb-ssd-16-qhd-240hz-rtx-4070-8gb-win11-xam-tui,185H,0,16.0,22.0,24,1.8,5.1,32GB,LPDDR5,5.0,1TB,SSD,4070,12,,OLED,,2560x1440,240HZ,DCI-P3 100%,11
63999000,https://hacom.vn/laptop-asus-gaming-rog-zephyrus-gu605mv-qr135w-core-ultra-9-185h-32gb-ram-1tb-ssd-16-qhd-240hz-rtx-4060-8ggb-win11-xam-tui,185H,0,16.0,22.0,24,1.8,5.1,32GB,LPDDR5,5.0,1TB,SSD,4060,8,,IPS,"16""",2560X1600,240HZ,,11
