Price,Link,CPU Name,RAM,Memory Type,Storage,Storage Type,GPU Name,GPU VRAM,PSU,Cooler,OS,CPU Achitecture,CPU Core,CPU Thread,CPU Cache,Max DDR Support,Base Clock,Max Clock,IGPU Clock
12399000,https://hacom.vn/pc-dell-inspiron-3020-i3-13100-8gb-ram-256gb-ssd-wl-bt-k-m-office-win11-4vgwp-small-form,i3-13100,8GB,DDR4,256GB,SSD,,,,Fan,11,7,4.0,8.0,12,5.0,4.5,4.5,1000
16499000,https://hacom.vn/hacom-sniper-s17-i5-12400f-rtx-3050,i5-12400,16GB,DDR4,500GB,SSD,,,600W,Fan,0,7,6.0,12.0,18,5.0,4.4,4.4,1000
11099000,https://hacom.vn/pc-dell-inspiron-3020-i3-13100-8gb-ram-256gb-ssd-wl-bt-k-m-win11-4vgwp1,i3-13100,8GB,DDR4,256GB,SSD,,,,Fan,11,7,4.0,8.0,12,5.0,4.5,4.5,1000
8999000,https://hacom.vn/pc-lenovo-thinkcentre-neo-50s-gen-4-i3-13100-4gb-ram-256gb-ssd-wl-bt-k-m-no-os-12jh0003va,i3-13100,4GB,DDR4,256GB,HDD,,,,Fan,0,7,4.0,8.0,12,5.0,4.5,4.5,1000
20999000,https://hacom.vn/pc-hp-proone-440-g9-aio-i5-12500t-8gb-ram-512gb-ssd-23.8-fhd-touch-k-m-win11-den-6m3x9pa,i5-12500,8GB,DDR4,512GB,SSD,,,120W,Fan,11,7,6.0,12.0,18,5.0,4.6,4.6,1000
19999000,https://hacom.vn/pc-hp-all-in-one-proone-240-g9-i7-1255u-8gb-ram-512gb-ssd-23.8-inch-fhd-wl-bt-k-m-win-11-6m3v4pa,i7-1255U,8GB,DDR4,512GB,SSD,,,,Fan,11,7,10.0,12.0,12,5.0,4.7,4.7,1000
7899000,https://hacom.vn/pc-gaming-hacom-tiger-t18-i3-10105f-h510-8gb-ram-240gb-ssd-gt-1030-450w,i3-10105,8GB,DDR4,,SSD,,,450W,Fan,0,14,4.0,8.0,6,4.0,3.7,4.4,1000
6799000,https://hacom.vn/pc-hacom-business-mini-p45-v2-i3-10105-h510-8gb-ram-500gb,i3-10105,8GB,DDR4,500GB,SSD,630,4.0,,Fan,0,14,4.0,8.0,6,4.0,3.7,4.4,1000
14199000,https://hacom.vn/pc-dell-inspiron-3020-i5-13400-8gb-ram-512gb-ssd-wl-bt-k-m-win11-mti51012w1-8g-512g,i5-13400,8GB,DDR4,512GB,SSD,,,,Fan,11,7,10.0,16.0,20,5.0,1.8,4.6,1000
14999000,https://hacom.vn/pc-asus-all-in-one-v241eak-wa209w-i5-1135g7-8gb-ram-512gb-ssd-23.8-fhd-wl-bt-k-m-win-11-trang,i5-1135G7,8GB,,512GB,SSD,,,,Fan,11,10,4.0,8.0,8,4.0,0.9,4.2,1000
